Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,103.070000,105.800003,103.059998,104.160004,98.954979,62345
2017-04-05,104.650002,105.620003,103.620003,104.260002,99.049980,96120
2017-04-06,104.400002,105.279999,103.199997,103.589996,98.413452,76510
2017-04-07,103.300003,104.199997,100.500000,102.000000,96.902924,2984815
2017-04-10,102.000000,104.800003,102.000000,102.809998,97.672432,82435
2017-04-11,103.559998,104.000000,102.599998,102.980003,97.833931,500200
2017-04-12,102.989998,103.160004,101.599998,102.320000,97.206924,56200
2017-04-13,101.800003,103.510002,101.000000,101.389999,96.323395,63935
2017-04-17,101.300003,104.779999,101.300003,102.680000,97.548927,138375
2017-04-18,102.669998,105.000000,102.400002,102.629997,97.501419,128395
2017-04-19,103.699997,103.800003,102.650002,103.230003,98.071449,55770
2017-04-20,103.790001,105.809998,103.449997,104.930000,99.686501,225980
2017-04-21,105.589996,105.800003,103.500000,103.660004,98.479973,163345
2017-04-24,103.800003,104.800003,103.599998,103.769997,98.584457,115995
2017-04-25,103.669998,105.000000,103.660004,104.250000,99.040474,120730
2017-04-26,104.760002,106.599998,102.309998,103.290001,98.128464,218100
2017-04-27,104.169998,104.419998,103.160004,103.410004,98.242455,59955
2017-04-28,105.000000,105.000000,103.400002,103.690002,98.508446,45770
2017-05-02,103.800003,107.449997,103.300003,105.669998,100.389511,133015
2017-05-03,106.269997,109.800003,105.900002,108.410004,102.992599,272195
2017-05-04,108.400002,117.160004,108.199997,112.550003,106.925713,554100
2017-05-05,113.589996,113.589996,110.000000,111.370003,105.804695,188765
2017-05-08,111.370003,113.199997,111.199997,112.080002,106.479210,84690
2017-05-09,112.000000,112.940002,110.599998,111.230003,105.671684,46635
2017-05-10,111.980003,112.680000,110.570000,111.180000,105.624176,47815
2017-05-11,111.589996,112.160004,110.199997,110.449997,104.930641,47825
2017-05-12,113.000000,113.000000,110.160004,111.320000,105.757164,51935
2017-05-15,112.580002,112.580002,110.000000,110.290001,104.778648,61225
2017-05-16,111.599998,116.099998,111.599998,115.410004,109.642792,216395
2017-05-17,116.779999,116.779999,114.419998,115.089996,109.338783,69850
2017-05-18,115.000000,118.800003,111.849998,112.559998,106.935219,220890
2017-05-19,114.379997,115.199997,108.000000,109.930000,104.436638,171755
2017-05-22,110.000000,113.809998,109.000000,109.309998,103.847610,169680
2017-05-23,109.949997,111.800003,107.000000,109.839996,104.351135,126570
2017-05-24,110.599998,111.199997,104.830002,105.650002,100.370522,119295
2017-05-25,106.389999,110.000000,106.389999,109.669998,104.189629,71560
2017-05-26,110.000000,111.480003,109.419998,110.989998,105.443665,47885
2017-05-29,111.010002,112.000000,107.800003,108.330002,102.916595,60330
2017-05-30,109.970001,109.980003,106.260002,109.360001,103.895119,16790
2017-05-31,110.180000,115.120003,109.510002,113.830002,108.141747,87365
2017-06-01,115.599998,119.599998,115.360001,117.419998,111.552345,181560
2017-06-02,119.400002,123.570000,117.000000,119.930000,113.936920,307700
2017-06-05,120.800003,123.019997,119.250000,120.489998,114.468925,86280
2017-06-06,121.199997,122.250000,119.419998,120.040001,114.041428,96535
2017-06-07,120.790001,123.599998,120.410004,122.010002,115.912979,98200
2017-06-08,122.800003,125.800003,122.220001,124.000000,117.803543,264315
2017-06-09,124.000000,126.400002,123.000000,124.680000,118.449562,148255
2017-06-12,124.790001,126.800003,123.419998,123.910004,117.718040,113310
2017-06-13,124.949997,125.000000,123.459999,123.680000,117.499542,28645
2017-06-14,123.599998,123.599998,121.000000,121.519997,115.447456,35565
2017-06-15,121.599998,122.199997,119.000000,119.440002,113.471405,60055
2017-06-16,120.400002,123.779999,118.750000,120.680000,114.649445,101520
2017-06-19,121.800003,122.400002,119.620003,121.459999,115.390465,50750
2017-06-20,120.599998,122.279999,120.419998,120.830002,114.791946,22160
2017-06-21,121.290001,123.500000,120.239998,122.540001,116.416496,63920
2017-06-22,123.379997,123.800003,120.550003,120.849998,114.810944,29285
2017-06-23,121.800003,122.879997,121.000000,121.410004,115.342972,2858955
2017-06-27,122.389999,123.029999,121.029999,122.419998,116.302498,37935
2017-06-28,122.400002,123.000000,121.209999,121.830002,115.741982,35580
2017-06-29,122.570000,123.000000,122.010002,122.639999,116.511490,29525
2017-06-30,122.000000,123.000000,121.320000,122.879997,116.739494,52105
2017-07-03,123.779999,125.949997,123.779999,125.400002,119.133583,127215
2017-07-04,126.000000,126.000000,124.980003,125.300003,119.038574,36790
2017-07-05,124.019997,125.690002,123.290001,124.900002,118.658569,53180
2017-07-06,125.830002,126.000000,123.169998,123.839996,117.934799,36360
2017-07-07,123.629997,124.800003,123.400002,123.720001,117.820526,28245
2017-07-10,120.000000,124.599998,120.000000,123.519997,117.630066,62825
2017-07-11,123.599998,123.980003,120.199997,120.750000,114.992149,120000
2017-07-12,121.250000,123.980003,119.000000,119.349998,113.658913,59110
2017-07-13,120.379997,124.599998,120.180000,121.879997,116.068268,76840
2017-07-14,122.730003,122.800003,120.209999,121.580002,115.782578,43215
2017-07-17,122.400002,123.309998,120.830002,121.690002,115.887337,35910
2017-07-18,122.000000,122.570000,119.900002,120.430000,114.687408,18820
2017-07-19,120.260002,121.379997,119.459999,119.730003,114.020782,26655
